# id	file_path	transparent_color_r	g	b
[TEXTURES]
1000	textures\BoundingBoxRender.png	0	0	0
555	textures\tilemap\map1.png	176	224	248
560	textures\tilemap\brick.png	176	224	248
561	textures\tilemap\pipe_below_l.png	176	224	248
562	textures\tilemap\pipe_below_r.png	176	224	248
563	textures\tilemap\pipe_above_l.png	176	224	248
564	textures\tilemap\pipe_above_r.png	176	224	248
570	textures\hold.png	60	188	252

1	textures\mario.png	255	255	255
2	textures\mario2.png	160	208	248
3	textures\background\gach.png	0	0	0
4	textures\ground\fire.png	0	0	0
5	textures\allitem.png	68	145	190
6	textures\HUD.png	176	224	248
7	textures\enemies.png	3	26	110
8	textures\enemies-2.png	255	255	255
9	textures\tilemap\spriteMap1\brickColliBroken.png	176	224	248
10	textures\mariobullet.png	255	255	255
11	textures\enemiesCopy.png	3	26	110

70	textures\misc.png	176	224	248
71	textures\misc2.png	255	255	255
80	textures\die.png	255	255	255
99	textures\brickfloor.png	176	224	248
100	textures\brickFloor\brickFloor39.png	176	224	248
110	textures\wall.png	176	224	248

#150	textures\enemies-2.png	255	255	255
#152	textures\tilemap\spriteMap1\brickColliBroken.png	176	224	248
#20	textures\background\gach.png	0	0	0
#50	textures\ground\fire.png	0	0	0
#60	textures\enemies.png	3	26	110


# id	left	top	right	bottom	texture_id
[SPRITES]


# brick chan
10116	362	153	382	182	1
10117	392	153	411	182	1
# run fast left
10118	93	153	112	182	1
10119	65	153	84	182	1
10120	35	153	54	182	1

# MARIO LEVEL 3
# mario turn change direction right
10121	5	634	21	663	1
# mario turn change direction left
10122	425	634	442	663	1
# run fast right
10123	331	634	355	663	1
10124	362	634	385	663	1
10125	393	634	414	663	1
# run fast left
10126	91	634	115	663	1
10127	61	634	85	663	1
10128	31	634	53	663	1
# jump normal right
10129	91	634	115	663	1
10130	61	634	85	663	1
10131	31	634	53	663	1

# CARRY TURTLE
# MARIO LEVEL 2
# idle right
10132	336	234	351	260	1
# walking right
10133	275	313	292	341	1
# jump right
10134	304	313	321	341	1
# idle left
10135	95	234	111	260	1
# walking left
10136	154	313	171	341	1
# jump left
10137	124	313	142	341	1

# MARIO LEVEL 3
# idle right
10138	241	793	265	822	1
# walking right
10139	271	793	295	822	1
# jump right
10140	302	793	325	822	1
# idle left
10141	181	793	205	822	1
# walking left
10142	151	793	174	822	1
# jump left
10143	121	793	144	822	1

# BULLET FIRE
10501	114	657	122	666	11
10502	134	658	142	666	11
10503	154	657	162	666	11
10504	174	658	182	666	11

# temp

#BRICK
20001	0	0	1	1	99
20002	0	0	624	16	100

# fire
40000	0	0	16	32	4
40001	16	0	32	32	4

# GOOMBA walk
60001	5	14	21	29	7
60002	25	14	41	29	7
# goomba die
60003	45	21	61	29	7
# goomba fly
60004	63	10	84	30	7
60005	86	10	107	30	7
60006	109	5	130	30	7
60007	133	5	154	30	7

# goomba die when collision tail, turtle
60008	390	14	406	30	7
60009	409	14	425	30	7


# ---- brick animation ----
70001	300	117	316	133	70
70002	318	117	334	133	70
70003	336	117	352	133	70
70004	355	117	370	133	70
# -- brick state die
70005	372	117	388	133	70
# money
#brick animation
80001	303	99	313	115	70
80002	322	99	330	115	70
80003	340	99	347	115	70
80004	250	120	260	135	70

# number 
100001	457	222	469	231	70

# cloud 
110001	5	22	38	48	11

# Mushroom up level mario
120001	299	189	316	205	70

# turtle left
130001	5	129	23	156	7
130002	27	129	44	156	7
# turtle die
130003	128	48	144	64	5

# turtle die collision tail
130010	427	137	443	153	7

# TURTLE timeout relive
130011	49	138	67	156	7
130012	302	178	318	194	7
130013	330	178	346	194	7
130014	72	140	89	156	7

# turtle die moving // ducnp fix
130015	128	48	144	64	5
130016	144	48	160	64	5
130017	160	48	176	64	5
130018	176	48	192	64	5


# turtle fly jump
130004	92	129	110	156	7
130005	113	129	130	156	7
130006	135	129	152	156	7
130007	156	127	173	156	7

# turtle fly left
17002	0	50	16	77	5
17003	16	50	32	77	5
17004	31	80	47	96	5
17005	47	80	63	96	5
17006	63	80	80	96	5
17007	80	80	96	96	5

# turtle right
130008	298	127	316	156	7
130009	319	127	336	156	7

# Square
140001	302	268	328	294	70

# Square
160000	299	207	317	223	70


# item Colosion wall width
570000	0	0	16	1	570
# wall height
570001	0	0	1	16	110

#Item Damage Level 1
580000	420	20	440	40	7
#Item Damage Level 2
580001	420	20	425	25	7
#Item Damage Level 3
580002	420	20	427	27	7

#Brick 
560000	0	0	16	16	560

# pipe 
560001	0	0	16	16	561
560002	0	0	16	16	562
560003	0	0	16	16	563
560004	0	0	16	16	564

# bullet
210000	568	119	579	129	70
210001	581	119	590	129	70

# brick collision broken
153000	0	0	16	16	9
153001	808	145	824	161	70
153002	887	188	903	204	70
153003	852	153	868	161	70
153004	985	101	1000	116	71


# DIE DIE DIE all enimes
220000	5	5	10	10	80

# *************** start HUD HUD
# rectangle 
8601	11	127	164	157	6
# square 
8602	139	158	164	187	6
# Mui Ten
8603	63	161	72	170	6
8604	90	161	99	170	6
# Word M
8605	15	160	33	170	6
# Word P
8606	73	161	89	170	6
8607	101	161	117	170	6

# square mushroom
8608	171	158	195	187	6
# square flower
8609	202	158	226	187	6
# square star
8620	232	158	256	187	6

# Number 0-9
8610	31	24	40	32	6
8611	52	24	61	31	6
8612	71	24	80	32	6
8613	90	24	98	31	6
8614	108	24	116	31	6
8615	127	24	135	32	6
8616	145	24	153	32	6
8617	162	24	170	32	6
8618	179	24	187	32	6
8619	197	24	205	32	6

# icon end map switch scene 
8701	300	189	316	205	70
8702	336	189	352	205	70
8703	354	189	370	205	70

# *************** start HUD HUD

# new flower red
# left
150000	127	144	145	177	5
150001	145	144	160	177	5
150002	160	144	177	177	5
150003	177	144	192	177	5
# right
150004	698	7	715	40	5
150005	715	7	730	40	5
150006	730	7	747	40	5
150007	747	7	763	40	5
# new flower not bullet
150008	0	144	17	177	5
150009	17	144	32	177	5

# new flower blue
# left
150010	31	144	49	177	5
150011	49	144	64	177	5
150012	64	144	81	177	5
150013	81	144	97	177	5

# right
150014	774	7	791	40	5
150015	791	7	806	40	5
150016	806	7	823	40	5
150017	823	7	839	40	5

# item render whenn collision brickBroken
88001	806	352	818	365	71
88002	819	352	831	365	71
88003	832	352	844	365	71
88004	845	352	857	365	71


[ANIMATIONS]

# ======= MARIO SMAIL =========
#idle small right
100	10000	100
#idle small left
101	10014	100
#walk right small
102	10000	100	10001	100	10002	100
144	10000	30	10001	30	10002	30

#walk left small
103	10014	100	10015	100	10016	100
145	10014	30	10015	30	10016	30

#sit down right
104	10006	100
#sit down left
105	10020	100
#attact right 
106	10003	100	10004	100	10005	100
# attact left
107	10017	100	10018	100	10019	100
# jump right
108	10021	100	10021	100	10021	100
# jump left
109	10022	100	10022	100	10022	100

# idle big right
110	10024	100
# idle big left
111	10023	100

# jump big right
114	10030	100
# jump big left
115	10029	100

# walk right big
112	10024	100	10027	100	10028	100
146	10024	30	10027	30	10028	30


# walk left big
113	10023	100	10025	100	10026	100
147	10023	30	10025	30	10026	30


# up level small to big ->right
117	10046	100	10024	100

#idle attact BIG right
118	10031	100
#idle attact BIG left
119	10032	100
#walk right BIG
120	10031	100	10033	100	10034	100
148	10031	30	10033	30	10034	30

#walk left BIG
121	10032	100	10035	100	10036	100
149	10032	30	10035	30	10036	30

# jump BIG attact right
122	10037	300	10068	300
# jump BIG attact left
123	10038	300	10067	300
# Sitdow BIG right
124	10039	100
# Sitdown BIG left
125	10040	100
# Sitdow BIG attact right
126	10041	100
# Sitdown BIG attact left
127	10042	100

# simon level 3 attack right
128	10031	100	10043	100	10044	100
# simon level 3 attack left
129	10032	100	10044	100	10043	100

# up level 1 to 2 ->left
130	10045	100	10023	100

# up level 2 to 3
131	10047	100	10048	100

# level 3 wag tail right
132	10049	50	10050	50	10051	50
# level 3 wag tail left
133	10052	50	10053	50	10054	50

# mario fly left
134	10055	100	10057	100	10058	100
# mario fly right
135	10056	100	10059	100	10060	100

# mario level 1 kick right
136	10061	100
# mario level 1 kick left
137	10062	100

# mario level 2 kick right
138	10063	100
# mario level 2 kick left
139	10064	100

# mario level 3 kick right
140	10065	100
# mario level 3 kick left
141	10066	100

# mario swing tail in fly left
142	10069	30	10070	30	10071	30

# mario swing tail in fly right
143	10072	30	10073	30	10074	30

# MARIO FIRE
# RIGHT
# idle right
150	10075	100
# walk right
151	10076	100	10077	100
# jump
152	10078	100
# kick
153	10079	100
# take tortoiseshell
154	10102	100	10103	100	10104	100
#turn change direction
155	10080	100

# run fast
156	10081	30	10082	30	10083	30
# sit
157	10084	100
# shoot fire
158	10085	100	10086	100

# LEFT
# idle right
159	10087	100
# walk right
160	10088	100	10089	100
# jump
161	10090	100
# kick
162	10091	100
# take tortoiseshell
163	10092	100	10093	100	10094	100
#turn change direction
164	10095	100

# run fast
165	10096	30	10097	30	10098	30
# sit
166	10099	100
# shoot fire
167	10100	100	10101	100

# MARIO LEVEL 1
# turn change direction right
168	10105	100
# turn change direction left
169	10106	100
# run fast right
170	10107	30	10108	30	10109	30
# run fast left
171	10110	30	10111	30	10112	30

# MARIO LEVEL 2
# turn change direction right
172	10113	100
# turn change direction left
173	10114	100
# run fast right
174	10115	30	10116	30	10117	30
# run fast left
175	10118	30	10119	30	10120	30

# MARIO LEVEL 3
# turn change direction right
176	10121	100
# turn change direction left
177	10122	100
# run fast right
178	10123	30	10124	30	10125	30
# run fast left
179	10126	30	10127	30	10128	30

# CARRY MARIO
# mario level 2
# idle right
180	10132	100
# walking right
181	10133	100
# jump right
182	10134	100
# idle left 
183	10135	100
# walking left 
184	10136	100
# jump left 
185	10137	100

# mario level 3
# idle right
186	10138	100
# walking right
187	10139	100
# jump right
188	10140	100
# idle left 
189	10141	100
# walking left 
190	10142	100
# jump left 
191	10143	100

#die
199	10099	100


# ======== BRICK =========
201	20001	100
202	20002	100
560	56000	100

# fire 
400	40000	100	40001	100

# ==== GOOMBA  =========
# walk
601	60001	100	60002	100
# die
602	60003	100
# fly
603	60004	200	60006	200	60005	200	60007	200
# goomba die when collision tail, turtle
604	60008	100

# ==== brick animation =========
701	70001	1000	70001	100	70002	100	70003	100	70004	100
702	70005	100
# ==== money =========
801	80004	100
802	80001	100	80002	100	80003	100

# number 
1001	100001	100

# cloud 
1101	110001	100

# mushroom up level mario
1201	120001	100

# turtle run left
1301	130001	100	130002	100

1302	130008	100	130009	100
# turtle die
1303	130003	100

# turtle die collision tail
1310	130010	100

# TURTLE timeout relive
#1311	130011	50	130012	50	130013	50	130011	100	130014	100	130011	100	130014	50	130014	50
1311	130014	100	130011	100

# turtle die moving 
1312	130015	100	130016	100	130017	100	130018	100


# turtle fly jump walking left
1701	130005	100	130006	100	130004	100	130007	100
1702	17002	100	17003	100
1704	17004	100
1705	17004	100	17005	100	17006	100	17007	100


# square 
1401	140001	100

# leaf
1601	160000	100

# item colision 
5700	570000	100
5701	570001	100

# Item Damage Level 1
5800	580000	100
# Item Damage Level 2
5801	580001	100
# Item Damage Level 3
5802	580002	100

# brick 
5660	560000	100
5661	560001	100
5662	560002	100
5663	560003	100
5664	560004	100

# new flower 
1500	150000	100
1501	150001	100
1502	150002	100
1503	150003	100
1504	150004	100
1505	150005	100
1506	150006	100
1507	150007	100
1508	150008	100
1509	150009	100
1510	150010	100
1511	150011	100
1512	150012	100
1513	150013	100
1514	150014	100
1515	150015	100
1516	150016	100
1517	150017	100

# bullet
210	210000	100	210001	100

# brick collision broken
1530	153000	100
1531	153001	100
1532	153002	100
1533	153003	100
1534	153004	100



# DIE DIE DIE all  enemies
2200	220000	100

# ===== Wall height animation ====
230	230000	100

#  HUD HUD
# rectangle 
861	8601	100

# icon end map switch scene 
870	8701	300	8702	300	8703	300

# item render whenn collision brickBroken
880	88001	100	88002	100	88003	100	88004	100

[ANIMATION_SETS]

# MARIO

1	199	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191

# BRICK 
2	201
80	202
56	560
60	5660
61	5661
62	5662
63	5663
64	5664

# fire 
5	400

# GOOMBA
6	601	602	604

# brick animation
7	701	702

# money
8	801	802

# number 
10	1001

# cloud 
11	1101

# mushroom up level mario 
12	1201

# turtle 
13	1301	1302	1303	1310	1311	1312
# turtle jump
17	1701	1702	1704	1705

# cloud 
14	1401

# goomba fly 
15	601	602	603	604

# leaf 
16	801	1601

# item Colision hold
57	5700	5701

# Item Damage 
58 5800	5801	5802

# new flower
150	1500	1501	1502	1503	1504	1505	1506	1507	1510	1511	1512	1513	1514	1515	1516	1517
151	1508	1509

# bullet
21	210

# brick collision broken
153	1530	1534	1531	1532	1533

# wall height
23	230

# HUD HUD
86	861
#86	861	862	863	864	865	866	867	868	869	880	870	871	872	873	874	875	876	877	878	879

# icon end map switch scene 
87	870

# item render whenn collision brickBroken
88	880

[OBJECTS]
#58	20.0	112	58
# type	x	y	ani_set_id	extra_settings per object type

# flower 
150	360	131	150	1
150	1864	131	150	2
151	1800	131	151

# fire object
2	50.0	0	5

# GOOMBA
6	200	160	6
6	500	160	6
6	800	144	6
6	850	144	6


# ---- brick animation ----
1	176	114	7	1
1	192	114	7	1
1	224	64	7	3
1	240	64	7	3
1	411	80	7	2
1	656	144	7	4
1	704	112	7	2
1	1472	128	7	4

# money
8	1088	96	8
8	1104	80	8
8	1120	64	8
# number
10	160	90	10

# cloud
11	0	0	11

# mushroom up level mario
12	80	40	12

# turtle
13	550	110	13	1
13	2096	110	13	2
13	1440	140	13	1


# turtle jump
17	1400	50	17


# square
14	80	80	14

# Goomba fly
15	1010	126	15

# bullet
# 21	300	30	21



# BRICK 
# --- platform (hint: I created the list using Excel!) ----

# Hold

57	240	128	57	48	1
57	272	96	57	48	1
57	352	128	57	32	1

57	400	128	57	80	1
57	464	96	57	64	1
57	512	64	57	64	1
57	512	144	57	96	1


57	2144	128	57	48	1

57	2176	64	57	48	1

57	1328	80	57	32	1

57	1264	144	57	112	1

57	1296	112	57	112	1

57	1328	80	57	112	1

# brick floor
# start floort chi co va cham ma ko xu li
9	0	0	2	8	160
9	2816	0	2	8	160
9	0	176	2	624	16
9	624	160	2	464	16
9	1152	176	2	352	16
9	1536	176	2	80	16
9	1664	176	2	576	16
9	2256	176	2	560	16

# brick thap
9	1504	112	2	32	16
9	1504	112	60	16	16
9	1520	112	60	16	16

9	1600	128	2	16	16
9	1584	144	2	32	16
9	1568	160	2	48	16

9	1664	128	2	16	16
9	1664	144	2	32	16
9	1664	160	2	48	16

#9	2256	128	2	32	16
9	2256	16	2	32	16
9	2256	32	2	32	16
9	2256	48	2	32	16
9	2256	64	2	32	16

# pipe 
9	352	128	2	32	48
9	1792	144	2	32	32
9	1856	128	2	32	48
9	2256	128	2	32	48
9	2320	144	2	32	32

# brick collision broken
153	1952	160	153	1
153	1968	160	153	1
153	1984	160	153	1
153	2000	160	153	1
153	2016	160	153	1
153	2032	160	153	1
153	2048	160	153	1
153	1968	144	153	1
153	1984	144	153	1
153	2000	144	153	1
153	2016	144	153	1
153	2032	144	153	1
153	1984	128	153	1
153	2000	128	153	1
153	2016	128	153	1
153	2032	128	153	3

153	2096	160	153	1
153	2112	160	153	1
153	2096	144	153	1

# icon end map switch scene 
87	2700	112	87

# item render whenn collision brickBroken
#88	2500	100	88

# MARIO
0	20.0	0	1	

# HUD HUD
# rectangle
86	8	192	86
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	  2258	16	 0	    2286	   20	     2
[TILEMAP]
1


